model,train set images,pretrained,pretrained dataset,Trained layers,epochs,batch size,learning rate,optimizer,training time (seconds),train accuracy,train loss,validation accuracy,validation loss,test accuracy,normalization
octnet,834,True,,Last dense,30,128,0.001,Adam,15.731924057006836,0.3321343064308166,1493203968.0,0.25,1170008832.0,0.2520661157024793,
resnet,834,True,Imagenet,Last dense,30,128,0.001,Adam,126.94302010536194,0.2362110316753387,1.3862290382385254,0.15625,1.3875036239624023,0.2407024793388429,
octnet,2087,True,,Last dense,30,128,0.001,Adam,23.736347198486328,0.2491614818572998,1389257088.0,0.15625,501112896.0,0.2386363636363636,
resnet,2087,True,Imagenet,Last dense,30,128,0.001,Adam,166.46281957626343,0.1787254363298416,1.3886183500289917,0.21875,1.3911631107330322,0.2076446280991735,
octnet,4174,True,,Last dense,30,128,0.001,Adam,36.91071701049805,0.2275994271039962,1564798592.0,0.25,604286592.0,0.2448347107438016,
resnet,4174,True,Imagenet,Last dense,30,128,0.001,Adam,232.1347603797913,0.331816017627716,1.3827478885650637,0.1875,1.385493278503418,0.2809917355371901,
octnet,6261,True,,Last dense,30,128,0.001,Adam,51.13195562362671,0.2275994271039962,1971187840.0,0.15625,522221920.0,0.2221074380165289,
resnet,6261,True,Imagenet,Last dense,30,128,0.001,Adam,300.05995321273804,0.2536336183547973,1.3867655992507937,0.125,1.3886103630065918,0.2396694214876033,
octnet,7513,True,,Last dense,30,128,0.001,Adam,58.45939302444458,0.1916677802801132,2791199488.0,0.25,1205864704.0,0.2603305785123967,
resnet,7513,True,Imagenet,Last dense,30,128,0.001,Adam,338.499755859375,0.208838015794754,1.386383891105652,0.15625,1.3881170749664309,0.2148760330578512,
octnet,8348,True,,Last dense,30,128,0.001,Adam,64.48400664329529,0.2576664984226227,1266018048.0,0.21875,468119808.0,0.2086776859504132,
resnet,8348,True,Imagenet,Last dense,30,128,0.001,Adam,367.0655901432037,0.1562050729990005,1.3930779695510864,0.21875,1.3940632343292236,0.2727272727272727,
octnet,20871,True,,Last dense,30,128,0.001,Adam,143.21960020065308,0.1896411329507827,4469436928.0,0.25,1687752576.0,0.2293388429752066,
resnet,20871,True,Imagenet,Last dense,30,128,0.001,Adam,766.5483222007751,0.3642853796482086,1.380590796470642,0.34375,1.3818557262420654,0.2995867768595041,
octnet,33393,True,,Last dense,30,128,0.001,Adam,222.3301341533661,0.2539454400539398,2549803520.0,0.3125,869442112.0,0.2479338842975206,
resnet,33393,True,Imagenet,Last dense,30,128,0.001,Adam,1170.182008743286,0.2519689798355102,1.384947657585144,0.1875,1.3835692405700684,0.2448347107438016,
octnet,41742,True,,Last dense,30,128,0.001,Adam,275.6859424114228,0.2055483758449554,2109576576.0,0.25,1527348480.0,0.25,
resnet,41742,True,Imagenet,Last dense,30,128,0.001,Adam,1438.759160041809,0.2608883082866668,1.3846975564956665,0.21875,1.3864177465438845,0.2706611570247934,
octnet,50090,True,,Last dense,30,128,0.001,Adam,328.7119405269623,0.3005390167236328,1345161088.0,0.25,691409536.0,0.25,
resnet,50090,True,Imagenet,Last dense,30,128,0.001,Adam,1706.3364419937134,0.209522858262062,1.3890399932861328,0.3125,1.380909442901611,0.2582644628099173,
octnet,62613,True,,Last dense,30,128,0.001,Adam,409.631671667099,0.3492565453052521,1230341632.0,0.1875,1141791232.0,0.2944214876033058,
resnet,62613,True,Imagenet,Last dense,30,128,0.001,Adam,2107.2852206230164,0.2396147698163986,1.3854620456695557,0.25,1.3919169902801514,0.246900826446281,
octnet,75135,True,,Last dense,30,128,0.001,Adam,485.10855197906494,0.2554468512535095,1965728128.0,0.28125,883381440.0,0.2314049586776859,
resnet,75135,True,Imagenet,Last dense,30,128,0.001,Adam,2511.061051607132,0.350648820400238,1.3822838068008425,0.28125,1.3851876258850098,0.3140495867768595,
octnet,83484,True,,Last dense,30,128,0.001,Adam,542.1120164394379,0.2243783175945282,2209614080.0,0.25,1136207360.0,0.2634297520661157,
resnet,83484,True,Imagenet,Last dense,30,128,0.001,Adam,2780.1582114696503,0.1932825446128845,1.3894760608673096,0.21875,1.3887475728988647,0.2252066115702479,
octnet,834,True,,All,30,128,0.001,Adam,29.897881746292114,0.7458033561706543,0.7461467385292053,0.53125,1.2976055145263672,0.5516528925619835,
resnet,834,True,Imagenet,All,30,128,0.001,Adam,197.82405877113345,0.7829736471176147,1.2228257656097412,0.5,1.2880499362945557,0.4958677685950413,
octnet,2087,True,,All,30,128,0.001,Adam,59.05735063552856,0.7982750535011292,0.5742177367210388,0.59375,0.8956389427185059,0.6229338842975206,
resnet,2087,True,Imagenet,All,30,128,0.001,Adam,339.1824035644531,0.7771921157836914,1.1672061681747437,0.5,1.285084247589111,0.5,
octnet,4174,True,,All,30,128,0.001,Adam,107.22230005264282,0.8205558061599731,0.4765351116657257,0.71875,0.7768246531486511,0.7128099173553719,
resnet,4174,True,Imagenet,All,30,128,0.001,Adam,572.8518960475922,0.886439859867096,0.941282331943512,0.75,1.0682995319366455,0.746900826446281,
octnet,6261,True,,All,30,128,0.001,Adam,157.09985375404358,0.8639194965362549,0.3778248429298401,0.8125,0.4807090163230896,0.7923553719008265,
resnet,6261,True,Imagenet,All,30,128,0.001,Adam,811.5307857990265,0.9728477597236632,0.7813016772270203,1.0,0.8858633041381836,0.9793388429752066,
octnet,7513,True,,All,30,128,0.001,Adam,184.7023105621338,0.850925087928772,0.4261884987354278,0.78125,0.5044040083885193,0.7675619834710744,
resnet,7513,True,Imagenet,All,30,128,0.001,Adam,953.946358203888,0.9785704612731934,0.7182936072349548,0.96875,0.8519439697265625,0.9927685950413224,
octnet,8348,True,,All,30,128,0.001,Adam,204.93751549720764,0.8502635359764099,0.4127498567104339,0.84375,0.5184369683265686,0.7799586776859504,
resnet,8348,True,Imagenet,All,30,128,0.001,Adam,1047.7655382156372,0.8891950249671936,0.7621768116950989,0.75,1.0041711330413818,0.7479338842975206,
octnet,20871,True,,All,30,128,0.001,Adam,496.4930925369263,0.9286569952964784,0.2039354145526886,0.90625,0.2575327157974243,0.9163223140495868,
resnet,20871,True,Imagenet,All,30,128,0.001,Adam,2456.079278945923,0.8886493444442749,0.4300181269645691,0.75,0.5927169322967529,0.7489669421487604,
octnet,33393,True,,All,30,128,0.001,Adam,784.0967514514923,0.9435510635375975,0.1627784520387649,0.90625,0.175028458237648,0.9483471074380164,
resnet,33393,True,Imagenet,All,30,128,0.001,Adam,3862.207273006439,0.983709156513214,0.1493806838989257,1.0,0.1225658878684043,0.9886363636363636,
octnet,41742,True,,All,30,128,0.001,Adam,975.2315649986268,0.957021713256836,0.1296012103557586,0.9375,0.4640741050243377,0.956611570247934,
resnet,41742,True,Imagenet,All,30,128,0.001,Adam,4911.772037267685,0.9879737496376038,0.0994796827435493,1.0,0.0668323785066604,0.9927685950413224,
octnet,50090,True,,All,30,128,0.001,Adam,1890.5379192829128,0.9588740468025208,0.1218121722340583,0.9375,0.1570142358541488,0.9731404958677686,
resnet,50090,True,Imagenet,All,30,128,0.001,Adam,7395.800930738449,0.8565182685852051,0.3384879231452942,0.75,0.4279088377952575,0.743801652892562,
octnet,62613,True,,All,30,128,0.001,Adam,1455.2732076644895,0.9727851748466492,0.0821490362286567,1.0,0.0042920294217765,0.9669421487603306,
resnet,62613,True,Imagenet,All,30,128,0.001,Adam,7137.286551237106,0.8579208850860596,0.3220130503177643,0.75,0.4120717048645019,0.7448347107438017,
octnet,75135,True,,All,30,128,0.001,Adam,1735.6461763381958,0.9720636010169984,0.0869584083557128,1.0,0.0109711531549692,0.9772727272727272,
resnet,75135,True,Imagenet,All,30,128,0.001,Adam,8540.525089979172,0.9906967282295228,0.0840507820248603,1.0,0.0642691701650619,0.9989669421487604,
octnet,83484,True,,All,30,128,0.001,Adam,1941.2991790771484,0.9764625430107116,0.072292223572731,0.96875,0.052942905575037,0.9855371900826446,
resnet,83484,True,Imagenet,All,30,128,0.001,Adam,9476.340566396711,0.993160367012024,0.0386456474661827,0.96875,0.0540350116789341,0.9979338842975206,
resnet,834,False,,All,30,128,0.001,SGD,192.8025772571564,0.4652278125286102,1.3748234510421753,0.25,1.386448860168457,0.25,
resnet,2087,False,,All,30,128,0.001,SGD,334.0309844017029,0.4647819697856903,1.3611515760421753,0.25,1.387204647064209,0.25,
resnet,4174,False,,All,30,128,0.001,SGD,570.9454698562622,0.4393866658210754,1.347228765487671,0.25,1.3896387815475464,0.25,
resnet,6261,False,,All,30,128,0.001,SGD,805.7864370346069,0.4435393810272217,1.33294415473938,0.25,1.391915202140808,0.25,
resnet,7513,False,,All,30,128,0.001,SGD,946.8999176025392,0.4407027959823608,1.3250911235809326,0.25,1.3940880298614502,0.25,
resnet,8348,False,,All,30,128,0.001,SGD,1039.9693019390106,0.4426209926605224,1.3146514892578125,0.25,1.3971590995788574,0.25,
resnet,20871,False,,All,30,128,0.001,SGD,2453.6017441749573,0.441809207201004,1.26785147190094,0.25,1.4301133155822754,0.25,
resnet,33393,False,,All,30,128,0.001,SGD,3868.993620157242,0.4434761703014374,1.2472435235977173,0.25,1.4584861993789673,0.25,
resnet,41742,False,,All,30,128,0.001,SGD,4808.852152585983,0.4417852461338043,1.2386575937271118,0.25,1.4899680614471436,0.25,
resnet,50090,False,,All,30,128,0.001,SGD,5756.073872566223,0.4424436092376709,1.2325434684753418,0.25,1.5243664979934692,0.25,
resnet,62613,False,,All,30,128,0.001,SGD,7172.458787918091,0.4441569745540619,1.2295928001403809,0.25,1.5444121360778809,0.25,
resnet,75135,False,,All,30,128,0.001,SGD,8573.050535440445,0.4441471993923187,1.2293744087219238,0.25,1.545137882232666,0.25,
resnet,83484,False,,All,30,128,0.001,SGD,9507.690400600432,0.4456542432308197,1.2257115840911863,0.25,1.5360634326934814,0.25,
resnet,834,True,Imagenet,Last dense,30,128,0.001,SGD,127.8851764202118,0.0035971223842352,1.432889461517334,0.0,1.4278284311294556,0.0,
resnet,2087,True,Imagenet,Last dense,30,128,0.001,SGD,165.19649505615234,0.2175371348857879,1.389156699180603,0.46875,1.3805131912231443,0.493801652892562,
resnet,4174,True,Imagenet,Last dense,30,128,0.001,SGD,231.8479623794556,0.3195975124835968,1.3865175247192385,0.25,1.3935768604278564,0.25,
resnet,6261,True,Imagenet,Last dense,30,128,0.001,SGD,297.9683589935303,0.4416227340698242,1.3668547868728638,0.25,1.3713271617889404,0.25,
resnet,7513,True,Imagenet,Last dense,30,128,0.001,SGD,339.303896188736,0.1366963982582092,1.390114188194275,0.28125,1.3884247541427612,0.256198347107438,
resnet,8348,True,Imagenet,Last dense,30,128,0.001,SGD,366.3280918598175,0.1366794407367706,1.4088853597640991,0.25,1.395549178123474,0.25,
resnet,20871,True,Imagenet,Last dense,30,128,0.001,SGD,766.6018617153168,0.4397489428520202,1.3884453773498535,0.25,1.4045190811157229,0.25,
resnet,33393,True,Imagenet,Last dense,30,128,0.001,SGD,1166.5317833423617,0.4184409976005554,1.377835035324097,0.5,1.3702406883239746,0.4989669421487603,
resnet,41742,True,Imagenet,Last dense,30,128,0.001,SGD,1435.052985906601,0.0018207081593573,1.4287556409835815,0.0,1.412952184677124,0.0,
resnet,50090,True,Imagenet,Last dense,30,128,0.001,SGD,1702.965602874756,0.000858454790432,1.4229352474212646,0.0,1.4230828285217283,0.0,
resnet,62613,True,Imagenet,Last dense,30,128,0.001,SGD,2101.910917043686,0.4525737464427948,1.3590233325958252,0.5,1.3558225631713867,0.5,
resnet,75135,True,Imagenet,Last dense,30,128,0.001,SGD,2510.631033182144,0.3168962597846985,1.3582617044448853,0.25,1.3617366552352903,0.25,
resnet,83484,True,Imagenet,Last dense,30,128,0.001,SGD,2776.1716260910034,0.1034449711441993,1.4153765439987185,0.25,1.397242307662964,0.25,
resnet,834,True,Imagenet,All,30,128,0.001,SGD,195.5810980796814,0.1019184663891792,1.38890278339386,0.25,1.3802499771118164,0.25,
resnet,2087,True,Imagenet,All,30,128,0.001,SGD,334.8781147003174,0.4633445143699646,1.3358194828033447,0.25,1.3683075904846191,0.25,
resnet,4174,True,Imagenet,All,30,128,0.001,SGD,570.4853515625,0.8818878531455994,1.222053289413452,0.75,1.2943159341812134,0.743801652892562,
resnet,6261,True,Imagenet,All,30,128,0.001,SGD,804.0388276576996,0.7612202763557434,1.167490005493164,0.5,1.2632311582565308,0.5,
resnet,7513,True,Imagenet,All,30,128,0.001,SGD,943.6136753559113,0.7609477043151855,1.110144019126892,0.5,1.211702585220337,0.5,
resnet,8348,True,Imagenet,All,30,128,0.001,SGD,1036.6357939243317,0.7601820826530457,1.0732325315475464,0.5,1.207780838012695,0.5,
resnet,20871,True,Imagenet,All,30,128,0.001,SGD,2441.134961605072,0.7598102688789368,0.8416892290115356,0.5,1.0417972803115845,0.5,
resnet,33393,True,Imagenet,All,30,128,0.001,SGD,3841.5330562591553,0.8962956070899963,0.672511100769043,0.75,0.8910227417945862,0.7489669421487604,
resnet,41742,True,Imagenet,All,30,128,0.001,SGD,4779.622919082642,0.8951655626296997,0.6002925634384155,0.75,0.8222041130065918,0.75,
resnet,50090,True,Imagenet,All,30,128,0.001,SGD,5713.911421775818,0.9830904603004456,0.5503909587860107,0.96875,0.7667588591575623,0.9721074380165288,
resnet,62613,True,Imagenet,All,30,128,0.001,SGD,7126.14963722229,0.9880855679512024,0.4678242802619934,0.96875,0.6738126873970032,0.9855371900826446,
resnet,75135,True,Imagenet,All,30,128,0.001,SGD,8548.475855588913,0.9932920932769777,0.4048856794834137,0.96875,0.5805341005325317,0.993801652892562,
resnet,83484,True,Imagenet,All,30,128,0.001,SGD,9506.355281829834,0.993232250213623,0.3832748234272003,0.96875,0.5593504309654236,0.993801652892562,
resnet,20871,False,,All,30,50,0.001_0.5,SGD,2590.4913189411163,0.7460111975669861,0.781421422958374,0.5,1.2882659435272217,0.4989669421487603,
resnet,20871,True,Imagenet,Last dense,30,50,0.001_0.5,SGD,818.6209378242493,0.3193905353546142,1.3998708724975586,0.28125,1.3872288465499878,0.2510330578512397,
resnet,20871,True,Imagenet,All,30,50,0.001_0.5,SGD,2587.904922246933,0.993340015411377,0.1323274970054626,0.96875,0.1852527260780334,0.9989669421487604,
resnet,20871,False,,All,30,50,0.1_0.9,SGD,2601.219410181045,0.9473910927772522,0.1861572712659835,1.0,0.092383325099945,0.975206611570248,
resnet,20871,False,,All,30,50,0.05_0.9,SGD,2608.3769047260284,0.9883091449737548,0.0731601789593696,1.0,0.0504844784736633,0.9855371900826446,
resnet,20871,False,,All,30,50,0.01_0.9,SGD,2606.2868559360504,0.9939150214195251,0.0657591000199318,1.0,0.0647667571902275,0.9896694214876032,
resnet,20871,False,,All,30,50,0.005_0.9,SGD,2605.1285712718964,0.887259840965271,0.3891106247901916,0.6875,0.7444397807121277,0.7128099173553719,
resnet,20871,False,,All,30,50,0.001_0.9,SGD,2608.1372549533844,0.441809207201004,1.0829685926437378,0.25,1.42048180103302,0.25,
resnet,20871,False,,All,30,50,0.0005_0.9,SGD,2601.8262152671814,0.441809207201004,1.230237603187561,0.25,1.5521925687789917,0.25,
resnet,20871,False,,All,30,50,0.0001_0.9,SGD,2605.900118112564,0.441809207201004,1.2474703788757324,0.25,1.4604933261871338,0.25,
resnet,20871,False,,All,30,50,5e-05_0.9,SGD,2606.9716889858246,0.441809207201004,1.2951334714889526,0.25,1.4072182178497314,0.25,
resnet,20871,False,,All,30,50,1e-05_0.9,SGD,2599.4175810813904,0.441809207201004,1.361472725868225,0.25,1.3873558044433594,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.1_0.9,SGD,816.0422596931458,0.5789852142333984,1.3811172246932983,0.5,1.3917993307113647,0.5,
resnet,20871,True,Imagenet,Last dense,30,50,0.05_0.9,SGD,821.2560007572174,0.4397968351840973,1.3858981132507324,0.25,1.3876399993896484,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.01_0.9,SGD,819.9645957946777,0.0021081883460283,1.4020583629608154,0.0,1.3938500881195068,0.0,
resnet,20871,True,Imagenet,Last dense,30,50,0.005_0.9,SGD,818.8624033927917,0.4550812244415283,1.3700844049453735,0.5,1.3623889684677124,0.5,
resnet,20871,True,Imagenet,Last dense,30,50,0.001_0.9,SGD,819.1511249542236,0.5776915550231934,1.343034029006958,0.5,1.368317484855652,0.5,
resnet,20871,True,Imagenet,Last dense,30,50,0.0005_0.9,SGD,823.5145065784454,0.0049350773915648,1.3852043151855469,0.0,1.391316056251526,0.0,
resnet,20871,True,Imagenet,Last dense,30,50,0.0001_0.9,SGD,819.2887797355652,0.5395525097846985,1.3597540855407717,0.5,1.361122965812683,0.4989669421487603,
resnet,20871,True,Imagenet,Last dense,30,50,5e-05_0.9,SGD,820.974264383316,0.3191030621528625,1.36931312084198,0.25,1.378232479095459,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,1e-05_0.9,SGD,821.3439099788666,0.0031143692322075,1.3903449773788452,0.0,1.3977487087249756,0.0010330578512396,
resnet,20871,True,Imagenet,All,30,50,0.1_0.9,SGD,2601.188559532165,0.9957357048988342,0.0272378362715244,0.96875,0.053458321839571,0.9948347107438016,
resnet,20871,True,Imagenet,All,30,50,0.05_0.9,SGD,2596.881850719452,0.9961190223693848,0.0252702999860048,0.96875,0.0885583385825157,0.993801652892562,
resnet,20871,True,Imagenet,All,30,50,0.01_0.9,SGD,2592.432127952576,0.9961669445037842,0.0295140109956264,0.96875,0.0658134818077087,0.9948347107438016,
resnet,20871,True,Imagenet,All,30,50,0.005_0.9,SGD,2593.7917346954346,0.9963106513023376,0.036912553012371,0.96875,0.0819432362914085,0.9948347107438016,
resnet,20871,True,Imagenet,All,30,50,0.001_0.9,SGD,2592.429226160049,0.9962627291679382,0.1252127289772033,0.96875,0.2016592621803283,0.9948347107438016,
resnet,20871,True,Imagenet,All,30,50,0.0005_0.9,SGD,2595.588944673538,0.9962148666381836,0.2485120594501495,0.96875,0.388609766960144,0.9927685950413224,
resnet,20871,True,Imagenet,All,30,50,0.0001_0.9,SGD,2592.345266819,0.7599539756774902,0.7664085030555725,0.5,0.9817899465560912,0.5,
resnet,20871,True,Imagenet,All,30,50,5e-05_0.9,SGD,2592.302853345871,0.7599061131477356,0.9817684888839722,0.5,1.1434555053710938,0.5,
resnet,20871,True,Imagenet,All,30,50,1e-05_0.9,SGD,2593.77692103386,0.8969862461090088,1.2703362703323364,0.75,1.303696870803833,0.7489669421487604,
resnet,20871,False,,All,30,50,0.1,Amsgrad,2603.697440862656,0.441809207201004,1.2315473556518557,0.25,1.537689208984375,0.25,
resnet,20871,False,,All,30,50,0.1,Adam,2557.0510125160217,0.441809207201004,1.231643795967102,0.25,1.5417581796646118,0.25,
resnet,20871,False,,All,30,50,0.05,Amsgrad,2600.22572183609,0.441809207201004,1.2311450242996216,0.25,1.552083134651184,0.25,
resnet,20871,False,,All,30,50,0.05,Adam,2571.144825935364,0.441809207201004,1.2313530445098877,0.25,1.5527846813201904,0.25,
resnet,20871,False,,All,30,50,0.01,Amsgrad,2615.088606595993,0.441809207201004,1.2311005592346191,0.25,1.5578923225402832,0.25,
resnet,20871,False,,All,30,50,0.01,Adam,2576.7055327892303,0.441809207201004,1.231109619140625,0.25,1.556255340576172,0.25,
resnet,20871,False,,All,30,50,0.005,Amsgrad,2616.4869973659515,0.441809207201004,1.2310713529586792,0.25,1.5566437244415283,0.25,
resnet,20871,False,,All,30,50,0.005,Adam,2615.2825524806976,0.441809207201004,1.2310740947723389,0.25,1.5575323104858398,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.1,Amsgrad,823.0361764431,0.0999952107667923,1.3909599781036377,0.21875,1.3909204006195068,0.2427685950413223,
resnet,20871,True,Imagenet,Last dense,30,50,0.1,Adam,826.340945482254,0.0024435820523649,1.3833109140396118,0.0,1.3947789669036863,0.003099173553719,
resnet,20871,True,Imagenet,Last dense,30,50,0.05,Amsgrad,824.8883092403412,0.000862440734636,1.4064981937408447,0.0,1.405895709991455,0.0010330578512396,
resnet,20871,True,Imagenet,Last dense,30,50,0.05,Adam,818.2377414703369,0.4193378388881683,1.3947393894195557,0.5,1.3788964748382568,0.496900826446281,
resnet,20871,True,Imagenet,Last dense,30,50,0.01,Amsgrad,825.1350584030151,0.4412821531295776,1.3838132619857788,0.25,1.393424391746521,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.01,Adam,824.1652157306671,0.4420008659362793,1.368633508682251,0.25,1.3900699615478516,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.005,Amsgrad,826.3654022216797,0.0007666139863431,1.3881933689117432,0.0,1.388369917869568,0.0041322314049586,
resnet,20871,True,Imagenet,Last dense,30,50,0.005,Adam,822.4023885726929,0.5783623456954956,1.376700520515442,0.5,1.3837555646896362,0.5,
resnet,20871,True,Imagenet,All,30,50,0.1,Amsgrad,2611.8870420455933,0.441809207201004,1.2314813137054443,0.25,1.5410237312316897,0.25,
resnet,20871,True,Imagenet,All,30,50,0.1,Adam,2569.546267747879,0.441809207201004,1.2315045595169067,0.25,1.555566906929016,0.25,
resnet,20871,True,Imagenet,All,30,50,0.05,Amsgrad,2600.2957525253296,0.441809207201004,1.2313482761383057,0.25,1.5523309707641602,0.25,
resnet,20871,True,Imagenet,All,30,50,0.05,Adam,2562.7178502082825,0.441809207201004,1.231248140335083,0.25,1.564995050430298,0.25,
resnet,20871,True,Imagenet,All,30,50,0.01,Amsgrad,2608.403849840164,0.441809207201004,1.2310843467712402,0.25,1.5571027994155884,0.25,
resnet,20871,True,Imagenet,All,30,50,0.01,Adam,2566.1406445503235,0.441809207201004,1.231112360954285,0.25,1.558246374130249,0.25,
resnet,20871,True,Imagenet,All,30,50,0.005,Amsgrad,2606.372222423553,0.441809207201004,1.231057047843933,0.25,1.5568174123764038,0.25,
resnet,20871,True,Imagenet,All,30,50,0.005,Adam,2563.177132844925,0.441809207201004,1.2310653924942017,0.25,1.5563232898712158,0.25,
resnet,20871,False,,All,30,50,0.1_0.6,SGD,2583.150243282318,0.991663098335266,0.0569505654275417,1.0,0.0297129973769187,0.9855371900826446,
resnet,20871,False,,All,30,50,0.1_0.7,SGD,2584.4966237545013,0.9931004643440248,0.0547480173408985,0.96875,0.0711884051561355,0.9824380165289256,
resnet,20871,False,,All,30,50,0.1_0.8,SGD,2587.1085999012,0.9602798223495485,0.1508014500141143,0.96875,0.1748981177806854,0.9669421487603306,
resnet,20871,False,,All,30,50,0.1_0.9,SGD,2579.004592180252,0.9659814834594728,0.1188485249876976,0.9375,0.1483347564935684,0.9080578512396694,
resnet,20871,False,,All,30,50,0.05_0.6,SGD,2584.204793214798,0.9932442307472228,0.055277083069086,1.0,0.0394527986645698,0.9855371900826446,
resnet,20871,False,,All,30,50,0.05_0.7,SGD,2592.329336643219,0.9906089901924132,0.0719030797481536,1.0,0.0543920062482357,0.984504132231405,
resnet,20871,False,,All,30,50,0.05_0.8,SGD,2654.068014860153,0.9911360144615172,0.0662446618080139,1.0,0.0489577688276767,0.9803719008264464,
resnet,20871,False,,All,30,50,0.05_0.9,SGD,2592.3682293891907,0.9930525422096252,0.073295384645462,1.0,0.0876244977116584,0.9731404958677686,
resnet,20871,False,,All,30,50,0.01_0.6,SGD,2595.9367413520813,0.7598581910133362,0.5583716630935669,0.5,0.965356707572937,0.5,
resnet,20871,False,,All,30,50,0.01_0.7,SGD,2587.004846572876,0.7526232600212097,0.714546263217926,0.5,1.1859670877456665,0.4989669421487603,
resnet,20871,False,,All,30,50,0.01_0.8,SGD,2590.5609974861145,0.8947343230247498,0.3548970520496368,0.6875,0.6485958099365234,0.734504132231405,
resnet,20871,False,,All,30,50,0.01_0.9,SGD,2588.5161929130554,0.9937233328819276,0.0579799376428127,1.0,0.0513122752308845,0.9783057851239668,
resnet,20871,False,,All,30,50,0.005_0.6,SGD,2588.9067254066467,0.441809207201004,1.231022834777832,0.25,1.5568585395812988,0.25,
resnet,20871,False,,All,30,50,0.005_0.7,SGD,2588.164943933487,0.7584686875343323,0.632348358631134,0.5,1.0167192220687866,0.4979338842975206,
resnet,20871,False,,All,30,50,0.005_0.8,SGD,2588.547999382019,0.7591874003410339,0.6045567393302917,0.5,1.0680066347122192,0.4979338842975206,
resnet,20871,False,,All,30,50,0.005_0.9,SGD,2586.792701005936,0.7729385495185852,0.5110917091369629,0.53125,0.961682915687561,0.5278925619834711,
resnet,20871,True,Imagenet,Last dense,30,50,0.1_0.6,SGD,811.9791839122772,0.1012409552931785,1.384843349456787,0.25,1.3871641159057615,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.1_0.7,SGD,809.5138983726501,0.441809207201004,1.3719412088394165,0.25,1.3872687816619873,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.1_0.8,SGD,809.1810467243195,0.3183843493461609,1.381110429763794,0.25,1.3872251510620115,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.1_0.9,SGD,807.370014667511,0.1385654807090759,1.407628297805786,0.25,1.3874192237854004,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.05_0.6,SGD,805.4767286777496,0.441809207201004,1.3765650987625122,0.25,1.387102723121643,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.05_0.7,SGD,808.1367626190186,0.441809207201004,1.3772401809692385,0.25,1.386644721031189,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.05_0.8,SGD,802.7427701950073,0.1012409552931785,1.3922227621078491,0.25,1.386468768119812,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.05_0.9,SGD,807.7218241691589,0.1385654807090759,1.3828701972961426,0.25,1.3871192932128906,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.01_0.6,SGD,808.9495623111725,0.1012409552931785,1.4116615056991575,0.25,1.3876516819000244,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.01_0.7,SGD,807.3648478984833,0.1385654807090759,1.3895491361618042,0.25,1.3863356113433838,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.01_0.8,SGD,807.5264227390289,0.1385654807090759,1.3832333087921145,0.25,1.3867061138153076,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.01_0.9,SGD,809.2472562789917,0.1385654807090759,1.3761323690414429,0.25,1.387149453163147,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.005_0.6,SGD,807.5895111560822,0.1012409552931785,1.3928004503250122,0.25,1.3866424560546875,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.005_0.7,SGD,809.700403213501,0.1385654807090759,1.3786444664001465,0.25,1.3871943950653076,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.005_0.8,SGD,807.7956612110138,0.441809207201004,1.3690192699432373,0.25,1.3875441551208496,0.25,
resnet,20871,True,Imagenet,Last dense,30,50,0.005_0.9,SGD,802.0143451690674,0.3183843493461609,1.3917838335037231,0.25,1.3868552446365356,0.25,
resnet,20871,True,Imagenet,All,30,50,0.1_0.6,SGD,2560.244111061096,0.441809207201004,1.2311574220657349,0.25,1.5590673685073853,0.25,
resnet,20871,True,Imagenet,All,30,50,0.1_0.7,SGD,2541.2678277492523,0.441809207201004,1.2311480045318604,0.25,1.5581892728805542,0.25,
resnet,20871,True,Imagenet,All,30,50,0.1_0.8,SGD,2541.6951208114624,0.441809207201004,1.2312142848968506,0.25,1.5583860874176023,0.25,
resnet,20871,True,Imagenet,All,30,50,0.1_0.9,SGD,2540.9796180725098,0.441809207201004,1.231334567070007,0.25,1.55470871925354,0.25,
resnet,20871,True,Imagenet,All,30,50,0.05_0.6,SGD,2542.595786333084,0.441809207201004,1.231090068817139,0.25,1.5577237606048584,0.25,
resnet,20871,True,Imagenet,All,30,50,0.05_0.7,SGD,2544.7307572364807,0.441809207201004,1.2310853004455566,0.25,1.555430889129639,0.25,
