model,train set images,pretrained,trained layers,accuracy,iou,recall,precision,f1-score,cohen kappa
octnet,"(6261, 62613.0)",False,False,0.8264462809917356,0.7051820294579259,0.8264462809917356,0.8610801770087931,0.8207948049866324,0.768595041322314
octnet,"(6261, 62613.0)",True,True,0.22933884297520662,0.09118633641301825,0.22933884297520662,0.14503859847233383,0.15555873379099924,-0.02754820936639124
octnet,"(6261, 62613.0)",True,False,0.8161157024793388,0.6858089230189022,0.8161157024793388,0.8516668091621737,0.8092473715083028,0.7548209366391184
octnet,"(7514, 75135.6)",False,False,0.8553719008264463,0.7475482221759424,0.8553719008264463,0.8761745868445278,0.8531101091204132,0.8071625344352618
octnet,"(7514, 75135.6)",True,True,0.24586776859504134,0.06159420289855073,0.24586776859504134,0.06185031185031185,0.09883720930232559,-0.005509641873278293
octnet,"(7514, 75135.6)",True,False,0.859504132231405,0.7515875708279212,0.859504132231405,0.8835881464896661,0.8568322424849588,0.8126721763085399
octnet,"(8348, 83484.0)",False,False,0.8966942148760331,0.8116899072021023,0.8966942148760331,0.908033441363967,0.895652538969411,0.862258953168044
octnet,"(8348, 83484.0)",True,True,0.25,0.06333490792872615,0.25,0.1873706004140787,0.10180083595700792,0.0
octnet,"(8348, 83484.0)",True,False,0.862603305785124,0.7565586755880748,0.862603305785124,0.882214222155388,0.8587042474975413,0.8168044077134986
octnet,"(20871, 20871.0)",False,False,0.9380165289256198,0.884047409286295,0.9380165289256198,0.9424176822859781,0.937932265648874,0.9173553719008265
octnet,"(20871, 20871.0)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
octnet,"(20871, 20871.0)",True,False,0.9390495867768595,0.8856893870941244,0.9390495867768595,0.9420691215809711,0.9391125470800376,0.918732782369146
octnet,"(33394, 33393.6)",False,False,0.9669421487603306,0.9360666724058064,0.9669421487603306,0.967674026132192,0.9669612350374593,0.9559228650137741
octnet,"(33394, 33393.6)",True,True,0.26859504132231404,0.10479735264580507,0.26859504132231404,0.22203025732437498,0.17398637150160293,0.024793388429752095
octnet,"(33394, 33393.6)",True,False,0.9783057851239669,0.9575534548800356,0.9783057851239669,0.978546565903161,0.9782987139378814,0.9710743801652892
octnet,"(41742, 41742.0)",False,False,0.9700413223140496,0.9418588531515999,0.9700413223140496,0.9705116875182968,0.9700290566224734,0.9600550964187328
octnet,"(41742, 41742.0)",True,True,0.2603305785123967,0.09022969096120567,0.2603305785123967,0.19025517636848305,0.15130815906049017,0.01377410468319562
octnet,"(41742, 41742.0)",True,False,0.9793388429752066,0.9595850438989791,0.9793388429752066,0.9796027875769524,0.9793487993257726,0.9724517906336088
octnet,"(50090, 50090.4)",False,False,0.9824380165289256,0.9655649282294079,0.9824380165289256,0.9826361310646184,0.9824599319131578,0.9765840220385675
octnet,"(50090, 50090.4)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
octnet,"(50090, 50090.4)",True,False,0.9793388429752066,0.9595903457874198,0.9793388429752066,0.9796586937917483,0.9793610016317242,0.9724517906336088
octnet,"(62613, 62613.0)",False,False,0.9803719008264463,0.9615784156904563,0.9803719008264463,0.9812065148640101,0.9803431282467986,0.9738292011019284
octnet,"(62613, 62613.0)",True,True,0.22417355371900827,0.07742418014067781,0.22417355371900827,0.1329501915708812,0.13148012345317098,-0.03443526170798905
octnet,"(62613, 62613.0)",True,False,0.9896694214876033,0.9796093689800659,0.9896694214876033,0.9898483429546254,0.9896812048235317,0.9862258953168044
octnet,"(75136, 75135.6)",False,False,0.9865702479338843,0.973554230722671,0.9865702479338843,0.9869072337612269,0.9865869723177324,0.9820936639118457
octnet,"(75136, 75135.6)",True,True,0.2830578512396694,0.11482877938956686,0.2830578512396694,0.1531502997771814,0.18671833193383067,0.0440771349862259
octnet,"(75136, 75135.6)",True,False,0.9855371900826446,0.9715243059800872,0.9855371900826446,0.9857829952764657,0.9855350807401612,0.9807162534435262
octnet,"(83484, 83484.0)",False,False,0.9865702479338843,0.9735883885234534,0.9865702479338843,0.9870181405895692,0.9865790547487024,0.9820936639118457
octnet,"(83484, 83484.0)",True,True,0.25,0.06535768022945644,0.25,0.21875,0.10581462328813605,0.0
octnet,"(83484, 83484.0)",True,False,0.9917355371900827,0.9836265455546054,0.9917355371900827,0.9918312379182691,0.9917350266302686,0.9889807162534435
opticnet,"(835, 834.84)",False,False,0.5640495867768595,0.381432060461894,0.5640495867768595,0.6456196011244024,0.5331064949500105,0.418732782369146
opticnet,"(835, 834.84)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(835, 834.84)",True,False,0.9783057851239669,0.9581664452739533,0.9783057851239669,0.9796474358974359,0.9784144734910684,0.9710743801652892
opticnet,"(2087, 2087.1)",False,False,0.8254132231404959,0.6978951931954458,0.8254132231404959,0.8444276056830337,0.8183654852428137,0.7672176308539945
opticnet,"(2087, 2087.1)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(2087, 2087.1)",True,False,0.987603305785124,0.9757474466521459,0.987603305785124,0.9880574734092181,0.9876197740728632,0.9834710743801653
opticnet,"(4174, 4174.2)",False,False,0.9090909090909091,0.8339897831794798,0.9090909090909091,0.9214144533202284,0.9083878486135114,0.8787878787878788
opticnet,"(4174, 4174.2)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(4174, 4174.2)",True,False,0.9917355371900827,0.9837041257571864,0.9917355371900827,0.9919170352295257,0.9917472038500694,0.9889807162534435
opticnet,"(6261, 62613.0)",False,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958739697691944,0.9944903581267217
opticnet,"(6261, 62613.0)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(6261, 62613.0)",True,False,0.996900826446281,0.9938313420678051,0.996900826446281,0.9969134752737908,0.9969008000408967,0.9958677685950413
opticnet,"(7514, 75135.6)",False,False,0.9948347107438017,0.9897739819988624,0.9948347107438017,0.9949392712550608,0.9948341594408938,0.9931129476584022
opticnet,"(7514, 75135.6)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(7514, 75135.6)",True,False,0.996900826446281,0.993839601956485,0.996900826446281,0.996938775510204,0.9969007073729866,0.9958677685950413
opticnet,"(8348, 83484.0)",False,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
opticnet,"(8348, 83484.0)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(8348, 83484.0)",True,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958739697691944,0.9944903581267217
opticnet,"(20871, 20871.0)",False,False,0.9783057851239669,0.9580352076744574,0.9783057851239669,0.9792832111625515,0.9783200473052664,0.9710743801652892
opticnet,"(20871, 20871.0)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(20871, 20871.0)",True,False,0.9927685950413223,0.9857206459621742,0.9927685950413223,0.9928940676548332,0.9927786067021285,0.990358126721763
opticnet,"(33394, 33393.6)",False,False,0.9896694214876033,0.9797487865669684,0.9896694214876033,0.9900793650793651,0.9896650096516852,0.9862258953168044
opticnet,"(33394, 33393.6)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(33394, 33393.6)",True,False,0.993801652892562,0.9877330296655124,0.993801652892562,0.9938898926026297,0.9938011622503786,0.9917355371900827
opticnet,"(41742, 41742.0)",False,False,0.9907024793388429,0.9817383359125482,0.9907024793388429,0.9910358565737052,0.9907168264607191,0.987603305785124
opticnet,"(41742, 41742.0)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(41742, 41742.0)",True,False,0.996900826446281,0.993839601956485,0.996900826446281,0.996938775510204,0.9969007073729866,0.9958677685950413
opticnet,"(50090, 50090.4)",False,False,0.993801652892562,0.9876960041409413,0.993801652892562,0.9938601276606288,0.9937992587575125,0.9917355371900827
opticnet,"(50090, 50090.4)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(50090, 50090.4)",True,False,0.996900826446281,0.993839601956485,0.996900826446281,0.996938775510204,0.9969007073729866,0.9958677685950413
opticnet,"(62613, 62613.0)",False,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958739697691944,0.9944903581267217
opticnet,"(62613, 62613.0)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(62613, 62613.0)",True,False,0.996900826446281,0.9938313420678051,0.996900826446281,0.9969134752737908,0.9969008000408967,0.9958677685950413
opticnet,"(75136, 75135.6)",False,False,0.9948347107438017,0.9897739819988624,0.9948347107438017,0.9949392712550608,0.9948341594408938,0.9931129476584022
opticnet,"(75136, 75135.6)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(75136, 75135.6)",True,False,0.996900826446281,0.993839601956485,0.996900826446281,0.996938775510204,0.9969007073729866,0.9958677685950413
opticnet,"(83484, 83484.0)",False,False,0.9989669421487604,0.9979381355643983,0.9989669421487604,0.9989711934156379,0.998966937738789,0.9986225895316805
opticnet,"(83484, 83484.0)",True,True,0.25,0.0625,0.25,0.0625,0.1,0.0
opticnet,"(83484, 83484.0)",True,False,0.9958677685950413,0.9918027279446348,0.9958677685950413,0.9959349593495934,0.9958739697691944,0.9944903581267217
